time,stockid,StockID,StockName,date,price,open,close,high,low,vol,amount,cjbs,yclose,syl1,syl2,buy1,buy2,buy3,buy4,buy5,sale1,sale2,sale3,sale4,sale5,bc1,bc2,bc3,bc4,bc5,sc1,sc2,sc3,sc4,sc5,wb,lb,zmm,buy_vol,buy_amount,sale_vol,sale_amount,w_buy,w_sale,sectional_buy_vol,sectional_buy_amount,sectional_sale_vol,sectional_sale_amount,sectional_w_buy,sectional_w_sale,sectional_yclose,sectional_open,sectional_close,sectional_high,sectional_low,sectional_vol,sectional_amount,sectional_cjbs,sectional_wb
2018-06-05 09:15:21,<NIL>,SH600637,东方明珠,43256.3856597222,0,0,0,0,0,0,0,0,0,0,0,17.66,0,0,0,0,17.66,0,0,0,0,600,0,0,0,0,600,1500,0,0,0,0.285714285714286,0,0,0,0,0,0,600,2100,0,0,0,0,600,2100,17.6,17.63,0,0,0,0,0,0,0.285714285714286
2018-06-05 09:16:15,<NIL>,SH600637,东方明珠,43256.3862847222,0,0,0,0,0,0,0,0,0,0,0,17.66,0,0,0,0,17.66,0,0,0,0,600,0,0,0,0,600,2000,0,0,0,0.230769230769231,0,0,0,0,0,0,600,2600,0,0,0,0,1200,4700,17.6,17.63,0,0,0,0,0,0,0.25531914893617
2018-06-05 09:16:45,<NIL>,SH600637,东方明珠,43256.3866319444,0,0,0,0,0,0,0,0,0,0,0,17.66,0,0,0,0,17.66,0,0,0,0,2400,0,0,0,0,2400,200,0,0,0,0.923076923076923,0,0,0,0,0,0,2400,2600,0,0,0,0,3600,7300,17.6,17.63,0,0,0,0,0,0,0.493150684931507
2018-06-05 09:17:30,<NIL>,SH600637,东方明珠,43256.3871527778,0,0,0,0,0,0,0,0,0,0,0,17.66,0,0,0,0,17.66,0,0,0,0,2400,0,0,0,0,2400,2700,0,0,0,0.470588235294118,0,0,0,0,0,0,2400,5100,0,0,0,0,6000,12400,17.6,17.63,0,0,0,0,0,0,0.483870967741935
2018-06-05 09:17:42,<NIL>,SH600637,东方明珠,43256.3872916667,0,0,0,0,0,0,0,0,0,0,0,17.66,0,0,0,0,17.66,0,0,0,0,2600,0,0,0,0,2600,2500,0,0,0,0.509803921568627,0,0,0,0,0,0,2600,5100,0,0,0,0,8600,17500,17.6,17.63,0,0,0,0,0,0,0.491428571428571
2018-06-05 09:18:21,<NIL>,SH600637,东方明珠,43256.3877430556,0,0,0,0,0,0,0,0,0,0,0,17.7,0,0,0,0,17.7,0,0,0,0,7600,33000,0,0,0,7600,0,0,0,0,5.34210526315789,0,0,0,0,0,0,40600,7600,0,0,0,0,49200,25100,17.6,17.63,0,0,0,0,0,0,1.9601593625498
2018-06-05 09:18:45,<NIL>,SH600637,东方明珠,43256.3880208333,0,0,0,0,0,0,0,0,0,0,0,17.7,0,0,0,0,17.7,0,0,0,0,8100,32500,0,0,0,8100,0,0,0,0,5.01234567901235,0,0,0,0,0,0,40600,8100,0,0,0,0,89800,33200,17.6,17.63,0,0,0,0,0,0,2.70481927710843
2018-06-05 09:19:00,<NIL>,SH600637,东方明珠,43256.3881944444,0,0,0,0,0,0,0,0,0,0,0,17.66,0,0,0,0,17.66,0,0,0,0,2600,0,0,0,0,2600,3000,0,0,0,0.464285714285714,0,0,0,0,0,0,2600,5600,0,0,0,0,92400,38800,17.6,17.63,0,0,0,0,0,0,2.38144329896907
2018-06-05 09:22:18,<NIL>,SH600637,东方明珠,43256.3904861111,0,0,0,0,0,0,0,0,0,0,0,17.66,0,0,0,0,17.66,0,0,0,0,2600,0,0,0,0,2600,3200,0,0,0,0.448275862068966,0,0,0,0,0,0,2600,5800,0,0,0,0,95000,44600,17.6,17.63,0,0,0,0,0,0,2.13004484304933
2018-06-05 09:22:45,<NIL>,SH600637,东方明珠,43256.3907986111,0,0,0,0,0,0,0,0,0,0,0,17.66,0,0,0,0,17.66,0,0,0,0,2600,0,0,0,0,2600,3600,0,0,0,0.419354838709677,0,0,0,0,0,0,2600,6200,0,0,0,0,97600,50800,17.6,17.63,0,0,0,0,0,0,1.92125984251968
