time,stockid,StockID,StockName,date,price,open,close,high,low,vol,amount,cjbs,yclose,syl1,syl2,buy1,buy2,buy3,buy4,buy5,sale1,sale2,sale3,sale4,sale5,bc1,bc2,bc3,bc4,bc5,sc1,sc2,sc3,sc4,sc5,wb,lb,zmm,buy_vol,buy_amount,sale_vol,sale_amount,w_buy,w_sale,sectional_buy_vol,sectional_buy_amount,sectional_sale_vol,sectional_sale_amount,sectional_w_buy,sectional_w_sale,sectional_yclose,sectional_open,sectional_close,sectional_high,sectional_low,sectional_vol,sectional_amount,sectional_cjbs,sectional_wb
2018-06-13 09:15:03,<NIL>,SH600637,东方明珠,43264.3854513889,0,0,0,0,0,0,0,0,0,0,0,16.7,0,0,0,0,16.7,0,0,0,0,12300,600,0,0,0,12300,0,0,0,0,1.04878048780488,0,0,0,0,0,0,12900,12300,0,0,0,0,12900,12300,16.9,16.82,0,0,0,0,0,0,1.04878048780488
2018-06-13 09:15:12,<NIL>,SH600637,东方明珠,43264.3855555556,0,0,0,0,0,0,0,0,0,0,0,16.74,0,0,0,0,16.74,0,0,0,0,12300,3400,0,0,0,12300,0,0,0,0,1.27642276422764,0,0,0,0,0,0,15700,12300,0,0,0,0,28600,24600,16.9,16.82,0,0,0,0,0,0,1.16260162601626
2018-06-13 09:16:33,<NIL>,SH600637,东方明珠,43264.3864930556,0,0,0,0,0,0,0,0,0,0,0,16.74,0,0,0,0,16.74,0,0,0,0,12300,4600,0,0,0,12300,0,0,0,0,1.3739837398374,0,0,0,0,0,0,16900,12300,0,0,0,0,45500,36900,16.9,16.82,0,0,0,0,0,0,1.23306233062331
2018-06-13 09:16:36,<NIL>,SH600637,东方明珠,43264.3865277778,0,0,0,0,0,0,0,0,0,0,0,16.74,0,0,0,0,16.74,0,0,0,0,12300,4900,0,0,0,12300,0,0,0,0,1.39837398373984,0,0,0,0,0,0,17200,12300,0,0,0,0,62700,49200,16.9,16.82,0,0,0,0,0,0,1.27439024390244
2018-06-13 09:16:57,<NIL>,SH600637,东方明珠,43264.3867708333,0,0,0,0,0,0,0,0,0,0,0,16.74,0,0,0,0,16.74,0,0,0,0,12300,5600,0,0,0,12300,0,0,0,0,1.45528455284553,0,0,0,0,0,0,17900,12300,0,0,0,0,80600,61500,16.9,16.82,0,0,0,0,0,0,1.31056910569106
2018-06-13 09:17:12,<NIL>,SH600637,东方明珠,43264.3869444444,0,0,0,0,0,0,0,0,0,0,0,16.74,0,0,0,0,16.74,0,0,0,0,12300,6100,0,0,0,12300,0,0,0,0,1.49593495934959,0,0,0,0,0,0,18400,12300,0,0,0,0,99000,73800,16.9,16.82,0,0,0,0,0,0,1.34146341463415
2018-06-13 09:17:15,<NIL>,SH600637,东方明珠,43264.3869791667,0,0,0,0,0,0,0,0,0,0,0,16.74,0,0,0,0,16.74,0,0,0,0,12300,6300,0,0,0,12300,0,0,0,0,1.51219512195122,0,0,0,0,0,0,18600,12300,0,0,0,0,117600,86100,16.9,16.82,0,0,0,0,0,0,1.36585365853659
2018-06-13 09:18:27,<NIL>,SH600637,东方明珠,43264.3878125,0,0,0,0,0,0,0,0,0,0,0,16.74,0,0,0,0,16.74,0,0,0,0,12300,6600,0,0,0,12300,0,0,0,0,1.53658536585366,0,0,0,0,0,0,18900,12300,0,0,0,0,136500,98400,16.9,16.82,0,0,0,0,0,0,1.38719512195122
2018-06-13 09:18:57,<NIL>,SH600637,东方明珠,43264.3881597222,0,0,0,0,0,0,0,0,0,0,0,16.74,0,0,0,0,16.74,0,0,0,0,12300,7100,0,0,0,12300,0,0,0,0,1.57723577235772,0,0,0,0,0,0,19400,12300,0,0,0,0,155900,110700,16.9,16.82,0,0,0,0,0,0,1.40831074977416
2018-06-13 09:19:18,<NIL>,SH600637,东方明珠,43264.3884027778,0,0,0,0,0,0,0,0,0,0,0,16.74,0,0,0,0,16.74,0,0,0,0,12800,6600,0,0,0,12800,0,0,0,0,1.515625,0,0,0,0,0,0,19400,12800,0,0,0,0,175300,123500,16.9,16.82,0,0,0,0,0,0,1.41943319838057
