time,stockid,StockID,StockName,date,price,open,close,high,low,vol,amount,cjbs,yclose,syl1,syl2,buy1,buy2,buy3,buy4,buy5,sale1,sale2,sale3,sale4,sale5,bc1,bc2,bc3,bc4,bc5,sc1,sc2,sc3,sc4,sc5,wb,lb,zmm,buy_vol,buy_amount,sale_vol,sale_amount,w_buy,w_sale,sectional_buy_vol,sectional_buy_amount,sectional_sale_vol,sectional_sale_amount,sectional_w_buy,sectional_w_sale,sectional_yclose,sectional_open,sectional_close,sectional_high,sectional_low,sectional_vol,sectional_amount,sectional_cjbs,sectional_wb
2018-06-06 09:15:09,<NIL>,SH600637,东方明珠,43257.3855208333,0,0,0,0,0,0,0,0,0,0,0,17.76,0,0,0,0,17.76,0,0,0,0,200,100,0,0,0,200,0,0,0,0,1.5,0,0,0,0,0,0,300,200,0,0,0,0,300,200,17.73,17.63,0,0,0,0,0,0,1.5
2018-06-06 09:20:00,<NIL>,SH600637,东方明珠,43257.3888888889,0,0,0,0,0,0,0,0,0,0,0,17.76,0,0,0,0,17.76,0,0,0,0,300,0,0,0,0,300,1900,0,0,0,0.136363636363636,0,0,0,0,0,0,300,2200,0,0,0,0,600,2400,17.73,17.63,0,0,0,0,0,0,0.25
2018-06-06 09:20:03,<NIL>,SH600637,东方明珠,43257.3889236111,0,0,0,0,0,0,0,0,0,0,0,17.73,0,0,0,0,17.73,0,0,0,0,1900,3200,0,0,0,1900,0,0,0,0,2.68421052631579,0,0,0,0,0,0,5100,1900,0,0,0,0,5700,4300,17.73,17.63,0,0,0,0,0,0,1.32558139534884
2018-06-06 09:20:15,<NIL>,SH600637,东方明珠,43257.3890625,0,0,0,0,0,0,0,0,0,0,0,17.8,0,0,0,0,17.8,0,0,0,0,5300,700,0,0,0,5300,0,0,0,0,1.13207547169811,0,0,0,0,0,0,6000,5300,0,0,0,0,11700,9600,17.73,17.63,0,0,0,0,0,0,1.21875
2018-06-06 09:22:06,<NIL>,SH600637,东方明珠,43257.3903472222,0,0,0,0,0,0,0,0,0,0,0,17.8,0,0,0,0,17.8,0,0,0,0,6000,0,0,0,0,6000,9300,0,0,0,0.392156862745098,0,0,0,0,0,0,6000,15300,0,0,0,0,17700,24900,17.73,17.63,0,0,0,0,0,0,0.710843373493976
2018-06-06 09:22:12,<NIL>,SH600637,东方明珠,43257.3904166667,0,0,0,0,0,0,0,0,0,0,0,17.73,0,0,0,0,17.73,0,0,0,0,6900,4500,0,0,0,6900,0,0,0,0,1.65217391304348,0,0,0,0,0,0,11400,6900,0,0,0,0,29100,31800,17.73,17.63,0,0,0,0,0,0,0.915094339622642
2018-06-06 09:22:24,<NIL>,SH600637,东方明珠,43257.3905555556,0,0,0,0,0,0,0,0,0,0,0,17.73,0,0,0,0,17.73,0,0,0,0,11400,0,0,0,0,11400,25500,0,0,0,0.308943089430894,0,0,0,0,0,0,11400,36900,0,0,0,0,40500,68700,17.73,17.63,0,0,0,0,0,0,0.589519650655022
2018-06-06 09:22:45,<NIL>,SH600637,东方明珠,43257.3907986111,0,0,0,0,0,0,0,0,0,0,0,17.73,0,0,0,0,17.73,0,0,0,0,11400,0,0,0,0,11400,25572,0,0,0,0.308341447581954,0,0,0,0,0,0,11400,36972,0,0,0,0,51900,105672,17.73,17.63,0,0,0,0,0,0,0.491142402907109
2018-06-06 09:23:36,<NIL>,SH600637,东方明珠,43257.3913888889,0,0,0,0,0,0,0,0,0,0,0,17.73,0,0,0,0,17.73,0,0,0,0,11900,0,0,0,0,11900,25072,0,0,0,0.321865195282917,0,0,0,0,0,0,11900,36972,0,0,0,0,63800,142644,17.73,17.63,0,0,0,0,0,0,0.447267322845686
2018-06-06 09:24:15,<NIL>,SH600637,东方明珠,43257.3918402778,0,0,0,0,0,0,0,0,0,0,0,17.73,0,0,0,0,17.73,0,0,0,0,14600,0,0,0,0,14600,22372,0,0,0,0.394893432868116,0,0,0,0,0,0,14600,36972,0,0,0,0,78400,179616,17.73,17.63,0,0,0,0,0,0,0.436486727240335
