time,stockid,StockID,StockName,date,price,open,close,high,low,vol,amount,cjbs,yclose,syl1,syl2,buy1,buy2,buy3,buy4,buy5,sale1,sale2,sale3,sale4,sale5,bc1,bc2,bc3,bc4,bc5,sc1,sc2,sc3,sc4,sc5,wb,lb,zmm,buy_vol,buy_amount,sale_vol,sale_amount,w_buy,w_sale,sectional_buy_vol,sectional_buy_amount,sectional_sale_vol,sectional_sale_amount,sectional_w_buy,sectional_w_sale,sectional_yclose,sectional_open,sectional_close,sectional_high,sectional_low,sectional_vol,sectional_amount,sectional_cjbs,sectional_wb
2018-06-14 09:15:00,<NIL>,SH600637,东方明珠,43265.3854166667,0,0,0,0,0,0,0,0,0,0,0,16.12,0,0,0,0,16.12,0,0,0,0,10791,2609,0,0,0,10791,0,0,0,0,1.24177555370216,0,0,0,0,0,0,13400,10791,0,0,0,0,13400,10791,16.18,16.08,0,0,0,0,0,0,1.24177555370216
2018-06-14 09:15:12,<NIL>,SH600637,东方明珠,43265.3855555556,0,0,0,0,0,0,0,0,0,0,0,16.12,0,0,0,0,16.12,0,0,0,0,10791,3109,0,0,0,10791,0,0,0,0,1.28811046242239,0,0,0,0,0,0,13900,10791,0,0,0,0,27300,21582,16.18,16.08,0,0,0,0,0,0,1.26494300806227
2018-06-14 09:16:15,<NIL>,SH600637,东方明珠,43265.3862847222,0,0,0,0,0,0,0,0,0,0,0,16.12,0,0,0,0,16.12,0,0,0,0,10791,4109,0,0,0,10791,0,0,0,0,1.38078027986285,0,0,0,0,0,0,14900,10791,0,0,0,0,42200,32373,16.18,16.08,0,0,0,0,0,0,1.3035554319958
2018-06-14 09:16:21,<NIL>,SH600637,东方明珠,43265.3863541667,0,0,0,0,0,0,0,0,0,0,0,16.12,0,0,0,0,16.12,0,0,0,0,12791,2109,0,0,0,12791,0,0,0,0,1.16488155734501,0,0,0,0,0,0,14900,12791,0,0,0,0,57100,45164,16.18,16.08,0,0,0,0,0,0,1.26428128597998
2018-06-14 09:16:36,<NIL>,SH600637,东方明珠,43265.3865277778,0,0,0,0,0,0,0,0,0,0,0,16.12,0,0,0,0,16.12,0,0,0,0,14791,109,0,0,0,14791,0,0,0,0,1.00736934622406,0,0,0,0,0,0,14900,14791,0,0,0,0,72000,59955,16.18,16.08,0,0,0,0,0,0,1.20090067550663
2018-06-14 09:16:57,<NIL>,SH600637,东方明珠,43265.3867708333,0,0,0,0,0,0,0,0,0,0,0,16.12,0,0,0,0,16.12,0,0,0,0,14791,809,0,0,0,14791,0,0,0,0,1.0546954228923,0,0,0,0,0,0,15600,14791,0,0,0,0,87600,74746,16.18,16.08,0,0,0,0,0,0,1.17196906857892
2018-06-14 09:17:21,<NIL>,SH600637,东方明珠,43265.3870486111,0,0,0,0,0,0,0,0,0,0,0,16.12,0,0,0,0,16.12,0,0,0,0,14891,709,0,0,0,14891,0,0,0,0,1.04761265193741,0,0,0,0,0,0,15600,14891,0,0,0,0,103200,89637,16.18,16.08,0,0,0,0,0,0,1.15131028481542
2018-06-14 09:17:30,<NIL>,SH600637,东方明珠,43265.3871527778,0,0,0,0,0,0,0,0,0,0,0,16.12,0,0,0,0,16.12,0,0,0,0,15600,0,0,0,0,15600,91,0,0,0,0.994200497100249,0,0,0,0,0,0,15600,15691,0,0,0,0,118800,105328,16.18,16.08,0,0,0,0,0,0,1.1279052103904
2018-06-14 09:17:42,<NIL>,SH600637,东方明珠,43265.3872916667,0,0,0,0,0,0,0,0,0,0,0,16.12,0,0,0,0,16.12,0,0,0,0,15691,109,0,0,0,15691,0,0,0,0,1.00694665731948,0,0,0,0,0,0,15800,15691,0,0,0,0,134600,121019,16.18,16.08,0,0,0,0,0,0,1.11222204777762
2018-06-14 09:17:51,<NIL>,SH600637,东方明珠,43265.3873958333,0,0,0,0,0,0,0,0,0,0,0,16.12,0,0,0,0,16.12,0,0,0,0,15691,1109,0,0,0,15691,0,0,0,0,1.07067745841565,0,0,0,0,0,0,16800,15691,0,0,0,0,151400,136710,16.18,16.08,0,0,0,0,0,0,1.10745373418184
2018-06-14 09:18:12,<NIL>,SH600637,东方明珠,43265.3876388889,0,0,0,0,0,0,0,0,0,0,0,16.12,0,0,0,0,16.12,0,0,0,0,15691,2109,0,0,0,15691,0,0,0,0,1.13440825951182,0,0,0,0,0,0,17800,15691,0,0,0,0,169200,152401,16.18,16.08,0,0,0,0,0,0,1.11022893550567
2018-06-14 09:18:15,<NIL>,SH600637,东方明珠,43265.3876736111,0,0,0,0,0,0,0,0,0,0,0,16.1,0,0,0,0,16.1,0,0,0,0,28791,3709,0,0,0,28791,0,0,0,0,1.12882498002848,0,0,0,0,0,0,32500,28791,0,0,0,0,201700,181192,16.18,16.08,0,0,0,0,0,0,1.1131838050245
2018-06-14 09:18:21,<NIL>,SH600637,东方明珠,43265.3877430556,0,0,0,0,0,0,0,0,0,0,0,16.1,0,0,0,0,16.1,0,0,0,0,28791,4009,0,0,0,28791,0,0,0,0,1.13924490292105,0,0,0,0,0,0,32800,28791,0,0,0,0,234500,209983,16.18,16.08,0,0,0,0,0,0,1.11675707081049
2018-06-14 09:18:27,<NIL>,SH600637,东方明珠,43265.3878125,0,0,0,0,0,0,0,0,0,0,0,16.1,0,0,0,0,16.1,0,0,0,0,28791,6009,0,0,0,28791,0,0,0,0,1.20871105553819,0,0,0,0,0,0,34800,28791,0,0,0,0,269300,238774,16.18,16.08,0,0,0,0,0,0,1.1278447402146
2018-06-14 09:18:30,<NIL>,SH600637,东方明珠,43265.3878472222,0,0,0,0,0,0,0,0,0,0,0,16.1,0,0,0,0,16.1,0,0,0,0,28791,7709,0,0,0,28791,0,0,0,0,1.26775728526276,0,0,0,0,0,0,36500,28791,0,0,0,0,305800,267565,16.18,16.08,0,0,0,0,0,0,1.14289985610973
2018-06-14 09:18:36,<NIL>,SH600637,东方明珠,43265.3879166667,0,0,0,0,0,0,0,0,0,0,0,16.12,0,0,0,0,16.12,0,0,0,0,15691,6109,0,0,0,15691,0,0,0,0,1.3893314638965,0,0,0,0,0,0,21800,15691,0,0,0,0,327600,283256,16.18,16.08,0,0,0,0,0,0,1.15655096449855
2018-06-14 09:19:06,<NIL>,SH600637,东方明珠,43265.3882638889,0,0,0,0,0,0,0,0,0,0,0,16.12,0,0,0,0,16.12,0,0,0,0,20391,1409,0,0,0,20391,0,0,0,0,1.06909911235349,0,0,0,0,0,0,21800,20391,0,0,0,0,349400,303647,16.18,16.08,0,0,0,0,0,0,1.15067825468389
2018-06-14 09:19:12,<NIL>,SH600637,东方明珠,43265.3883333333,0,0,0,0,0,0,0,0,0,0,0,16.12,0,0,0,0,16.12,0,0,0,0,16100,0,0,0,0,16100,4291,0,0,0,0.789564023343632,0,0,0,0,0,0,16100,20391,0,0,0,0,365500,324038,16.18,16.08,0,0,0,0,0,0,1.12795412883674
2018-06-14 09:19:21,<NIL>,SH600637,东方明珠,43265.3884375,0,0,0,0,0,0,0,0,0,0,0,16.12,0,0,0,0,16.12,0,0,0,0,16300,0,0,0,0,16300,4091,0,0,0,0.79937227208082,0,0,0,0,0,0,16300,20391,0,0,0,0,381800,344429,16.18,16.08,0,0,0,0,0,0,1.10850131667194
2018-06-14 09:19:33,<NIL>,SH600637,东方明珠,43265.3885763889,0,0,0,0,0,0,0,0,0,0,0,16.12,0,0,0,0,16.12,0,0,0,0,16300,0,0,0,0,16300,5291,0,0,0,0.754944189708675,0,0,0,0,0,0,16300,21591,0,0,0,0,398100,366020,16.18,16.08,0,0,0,0,0,0,1.08764548385334
2018-06-14 09:19:36,<NIL>,SH600637,东方明珠,43265.3886111111,0,0,0,0,0,0,0,0,0,0,0,16.12,0,0,0,0,16.12,0,0,0,0,16300,0,0,0,0,16300,3291,0,0,0,0.832014700627839,0,0,0,0,0,0,16300,19591,0,0,0,0,414400,385611,16.18,16.08,0,0,0,0,0,0,1.07465813993895
2018-06-14 09:20:06,<NIL>,SH600637,东方明珠,43265.3889583333,0,0,0,0,0,0,0,0,0,0,0,16.08,0,0,0,0,16.08,0,0,0,0,32400,0,0,0,0,32400,49691,0,0,0,0.394683948301275,0,0,0,0,0,0,32400,82091,0,0,0,0,446800,467702,16.18,16.08,0,0,0,0,0,0,0.955309149843276
2018-06-14 09:20:12,<NIL>,SH600637,东方明珠,43265.3890277778,0,0,0,0,0,0,0,0,0,0,0,16.08,0,0,0,0,16.08,0,0,0,0,33400,0,0,0,0,33400,48691,0,0,0,0.406865551643907,0,0,0,0,0,0,33400,82091,0,0,0,0,480200,549793,16.18,16.08,0,0,0,0,0,0,0.873419632479861
2018-06-14 09:20:48,<NIL>,SH600637,东方明珠,43265.3894444444,0,0,0,0,0,0,0,0,0,0,0,16.08,0,0,0,0,16.08,0,0,0,0,33700,0,0,0,0,33700,48391,0,0,0,0.410520032646697,0,0,0,0,0,0,33700,82091,0,0,0,0,513900,631884,16.18,16.08,0,0,0,0,0,0,0.813282184704788
2018-06-14 09:20:57,<NIL>,SH600637,东方明珠,43265.3895486111,0,0,0,0,0,0,0,0,0,0,0,16.08,0,0,0,0,16.08,0,0,0,0,34300,0,0,0,0,34300,47791,0,0,0,0.417828994652276,0,0,0,0,0,0,34300,82091,0,0,0,0,548200,713975,16.18,16.08,0,0,0,0,0,0,0.767813999089604
2018-06-14 09:21:03,<NIL>,SH600637,东方明珠,43265.3896180556,0,0,0,0,0,0,0,0,0,0,0,16.08,0,0,0,0,16.08,0,0,0,0,34500,0,0,0,0,34500,47591,0,0,0,0.420265315320802,0,0,0,0,0,0,34500,82091,0,0,0,0,582700,796066,16.18,16.08,0,0,0,0,0,0,0.731974484527665
2018-06-14 09:21:18,<NIL>,SH600637,东方明珠,43265.3897916667,0,0,0,0,0,0,0,0,0,0,0,16.08,0,0,0,0,16.08,0,0,0,0,34500,0,0,0,0,34500,57591,0,0,0,0.374629442616542,0,0,0,0,0,0,34500,92091,0,0,0,0,617200,888157,16.18,16.08,0,0,0,0,0,0,0.694922181551235
2018-06-14 09:21:21,<NIL>,SH600637,东方明珠,43265.3898263889,0,0,0,0,0,0,0,0,0,0,0,16.08,0,0,0,0,16.08,0,0,0,0,34700,0,0,0,0,34700,57391,0,0,0,0.376801207501276,0,0,0,0,0,0,34700,92091,0,0,0,0,651900,980248,16.18,16.08,0,0,0,0,0,0,0.6650357868621
2018-06-14 09:21:33,<NIL>,SH600637,东方明珠,43265.3899652778,0,0,0,0,0,0,0,0,0,0,0,16.08,0,0,0,0,16.08,0,0,0,0,35700,0,0,0,0,35700,56391,0,0,0,0.387660031924944,0,0,0,0,0,0,35700,92091,0,0,0,0,687600,1072339,16.18,16.08,0,0,0,0,0,0,0.641215138123299
2018-06-14 09:21:36,<NIL>,SH600637,东方明珠,43265.39,0,0,0,0,0,0,0,0,0,0,0,16.08,0,0,0,0,16.08,0,0,0,0,35800,0,0,0,0,35800,56291,0,0,0,0.388745914367311,0,0,0,0,0,0,35800,92091,0,0,0,0,723400,1164430,16.18,16.08,0,0,0,0,0,0,0.621248164337916
