time,stockid,StockID,StockName,date,price,open,close,high,low,vol,amount,cjbs,yclose,syl1,syl2,buy1,buy2,buy3,buy4,buy5,sale1,sale2,sale3,sale4,sale5,bc1,bc2,bc3,bc4,bc5,sc1,sc2,sc3,sc4,sc5,wb,lb,zmm,buy_vol,buy_amount,sale_vol,sale_amount,w_buy,w_sale,sectional_buy_vol,sectional_buy_amount,sectional_sale_vol,sectional_sale_amount,sectional_w_buy,sectional_w_sale,sectional_yclose,sectional_open,sectional_close,sectional_high,sectional_low,sectional_vol,sectional_amount,sectional_cjbs,sectional_wb
2018-06-20 09:14:54,<NIL>,SH600637,东方明珠,43271.3853472222,0,0,0,0,0,0,0,0,0,0,0,14.16,0,0,0,0,14.16,0,0,0,0,5689,18311,0,0,0,5689,0,0,0,0,4.21866760414836,0,0,0,0,0,0,24000,5689,0,0,0,0,24000,5689,14.15,14.2,0,0,0,0,0,0,4.21866760414836
2018-06-20 09:15:09,<NIL>,SH600637,东方明珠,43271.3855208333,0,0,0,0,0,0,0,0,0,0,0,14.16,0,0,0,0,14.16,0,0,0,0,5889,18111,0,0,0,5889,0,0,0,0,4.07539480387163,0,0,0,0,0,0,24000,5889,0,0,0,0,48000,11578,14.15,14.2,0,0,0,0,0,0,4.1457937467611
2018-06-20 09:15:18,<NIL>,SH600637,东方明珠,43271.385625,0,0,0,0,0,0,0,0,0,0,0,14.16,0,0,0,0,14.16,0,0,0,0,5989,18011,0,0,0,5989,0,0,0,0,4.0073468024712,0,0,0,0,0,0,24000,5989,0,0,0,0,72000,17567,14.15,14.2,0,0,0,0,0,0,4.09859395457392
2018-06-20 09:15:27,<NIL>,SH600637,东方明珠,43271.3857291667,0,0,0,0,0,0,0,0,0,0,0,14.17,0,0,0,0,14.17,0,0,0,0,5989,111,0,0,0,5989,0,0,0,0,1.01853397896143,0,0,0,0,0,0,6100,5989,0,0,0,0,78100,23556,14.15,14.2,0,0,0,0,0,0,3.31550348106639
2018-06-20 09:15:39,<NIL>,SH600637,东方明珠,43271.3858680556,0,0,0,0,0,0,0,0,0,0,0,14.54,0,0,0,0,14.54,0,0,0,0,41000,0,0,0,0,41000,1189,0,0,0,0.971817298347911,0,0,0,0,0,0,41000,42189,0,0,0,0,119100,65745,14.15,14.2,0,0,0,0,0,0,1.81154460415241
2018-06-20 09:16:18,<NIL>,SH600637,东方明珠,43271.3863194444,0,0,0,0,0,0,0,0,0,0,0,14.54,0,0,0,0,14.54,0,0,0,0,41000,0,0,0,0,41000,1089,0,0,0,0.974126256266483,0,0,0,0,0,0,41000,42089,0,0,0,0,160100,107834,14.15,14.2,0,0,0,0,0,0,1.48468943004989
2018-06-20 09:16:27,<NIL>,SH600637,东方明珠,43271.3864236111,0,0,0,0,0,0,0,0,0,0,0,14.54,0,0,0,0,14.54,0,0,0,0,41000,0,0,0,0,41000,1789,0,0,0,0.958190189067284,0,0,0,0,0,0,41000,42789,0,0,0,0,201100,150623,14.15,14.2,0,0,0,0,0,0,1.33512146219369
2018-06-20 09:16:39,<NIL>,SH600637,东方明珠,43271.3865625,0,0,0,0,0,0,0,0,0,0,0,14.54,0,0,0,0,14.54,0,0,0,0,41000,0,0,0,0,41000,2920,0,0,0,0.933515482695811,0,0,0,0,0,0,41000,43920,0,0,0,0,242100,194543,14.15,14.2,0,0,0,0,0,0,1.24445495340362
2018-06-20 09:16:51,<NIL>,SH600637,东方明珠,43271.3867013889,0,0,0,0,0,0,0,0,0,0,0,14.54,0,0,0,0,14.54,0,0,0,0,41000,0,0,0,0,41000,3120,0,0,0,0.929283771532185,0,0,0,0,0,0,41000,44120,0,0,0,0,283100,238663,14.15,14.2,0,0,0,0,0,0,1.18619140796856
2018-06-20 09:17:00,<NIL>,SH600637,东方明珠,43271.3868055556,0,0,0,0,0,0,0,0,0,0,0,14.54,0,0,0,0,14.54,0,0,0,0,41000,0,0,0,0,41000,2489,0,0,0,0.94276713651728,0,0,0,0,0,0,41000,43489,0,0,0,0,324100,282152,14.15,14.2,0,0,0,0,0,0,1.14867163798236
2018-06-20 09:17:09,<NIL>,SH600637,东方明珠,43271.3869097222,0,0,0,0,0,0,0,0,0,0,0,14.54,0,0,0,0,14.54,0,0,0,0,41000,0,0,0,0,41000,3689,0,0,0,0.917451721900244,0,0,0,0,0,0,41000,44689,0,0,0,0,365100,326841,14.15,14.2,0,0,0,0,0,0,1.11705691758378
2018-06-20 09:17:12,<NIL>,SH600637,东方明珠,43271.3869444444,0,0,0,0,0,0,0,0,0,0,0,14.54,0,0,0,0,14.54,0,0,0,0,41000,0,0,0,0,41000,4289,0,0,0,0.905297092009097,0,0,0,0,0,0,41000,45289,0,0,0,0,406100,372130,14.15,14.2,0,0,0,0,0,0,1.09128530352296
2018-06-20 09:17:27,<NIL>,SH600637,东方明珠,43271.3871180556,0,0,0,0,0,0,0,0,0,0,0,14.17,0,0,0,0,14.17,0,0,0,0,5889,211,0,0,0,5889,0,0,0,0,1.0358295126507,0,0,0,0,0,0,6100,5889,0,0,0,0,412200,378019,14.15,14.2,0,0,0,0,0,0,1.09042138093588
2018-06-20 09:18:33,<NIL>,SH600637,东方明珠,43271.3878819444,0,0,0,0,0,0,0,0,0,0,0,14.17,0,0,0,0,14.17,0,0,0,0,5889,311,0,0,0,5889,0,0,0,0,1.0528103243335,0,0,0,0,0,0,6200,5889,0,0,0,0,418400,383908,14.15,14.2,0,0,0,0,0,0,1.08984444189754
2018-06-20 09:18:45,<NIL>,SH600637,东方明珠,43271.3880208333,0,0,0,0,0,0,0,0,0,0,0,14.17,0,0,0,0,14.17,0,0,0,0,5889,411,0,0,0,5889,0,0,0,0,1.0697911360163,0,0,0,0,0,0,6300,5889,0,0,0,0,424700,389797,14.15,14.2,0,0,0,0,0,0,1.08954147928281
2018-06-20 09:18:57,<NIL>,SH600637,东方明珠,43271.3881597222,0,0,0,0,0,0,0,0,0,0,0,14.17,0,0,0,0,14.17,0,0,0,0,6300,0,0,0,0,6300,9589,0,0,0,0.396500723771162,0,0,0,0,0,0,6300,15889,0,0,0,0,431000,405686,14.15,14.2,0,0,0,0,0,0,1.06239801225578
2018-06-20 09:19:18,<NIL>,SH600637,东方明珠,43271.3884027778,0,0,0,0,0,0,0,0,0,0,0,14.17,0,0,0,0,14.17,0,0,0,0,9000,0,0,0,0,9000,6889,0,0,0,0.566429605387375,0,0,0,0,0,0,9000,15889,0,0,0,0,440000,421575,14.15,14.2,0,0,0,0,0,0,1.04370515329419
2018-06-20 09:19:24,<NIL>,SH600637,东方明珠,43271.3884722222,0,0,0,0,0,0,0,0,0,0,0,14.17,0,0,0,0,14.17,0,0,0,0,10000,0,0,0,0,10000,5889,0,0,0,0.629366228208194,0,0,0,0,0,0,10000,15889,0,0,0,0,450000,437464,14.15,14.2,0,0,0,0,0,0,1.02865607227109
2018-06-20 09:19:27,<NIL>,SH600637,东方明珠,43271.3885069444,0,0,0,0,0,0,0,0,0,0,0,14.17,0,0,0,0,14.17,0,0,0,0,10300,0,0,0,0,10300,5589,0,0,0,0.64824721505444,0,0,0,0,0,0,10300,15889,0,0,0,0,460300,453353,14.15,14.2,0,0,0,0,0,0,1.01532359993206
2018-06-20 09:19:54,<NIL>,SH600637,东方明珠,43271.3888194444,0,0,0,0,0,0,0,0,0,0,0,14.17,0,0,0,0,14.17,0,0,0,0,11300,0,0,0,0,11300,4589,0,0,0,0.71118383787526,0,0,0,0,0,0,11300,15889,0,0,0,0,471600,469242,14.15,14.2,0,0,0,0,0,0,1.00502512562814
2018-06-20 09:20:18,<NIL>,SH600637,东方明珠,43271.3890972222,0,0,0,0,0,0,0,0,0,0,0,14.17,0,0,0,0,14.17,0,0,0,0,11500,0,0,0,0,11500,4389,0,0,0,0.723771162439423,0,0,0,0,0,0,11500,15889,0,0,0,0,483100,485131,14.15,14.2,0,0,0,0,0,0,0.9958135019201
2018-06-20 09:20:27,<NIL>,SH600637,东方明珠,43271.3892013889,0,0,0,0,0,0,0,0,0,0,0,14.17,0,0,0,0,14.17,0,0,0,0,12000,0,0,0,0,12000,3889,0,0,0,0.755239473849833,0,0,0,0,0,0,12000,15889,0,0,0,0,495100,501020,14.15,14.2,0,0,0,0,0,0,0.988184104426969
2018-06-20 09:20:45,<NIL>,SH600637,东方明珠,43271.3894097222,0,0,0,0,0,0,0,0,0,0,0,14.17,0,0,0,0,14.17,0,0,0,0,12000,0,0,0,0,12000,24489,0,0,0,0.328866233659459,0,0,0,0,0,0,12000,36489,0,0,0,0,507100,537509,14.15,14.2,0,0,0,0,0,0,0.943426063563587
2018-06-20 09:21:18,<NIL>,SH600637,东方明珠,43271.3897916667,0,0,0,0,0,0,0,0,0,0,0,14.17,0,0,0,0,14.17,0,0,0,0,14000,0,0,0,0,14000,22489,0,0,0,0.383677272602702,0,0,0,0,0,0,14000,36489,0,0,0,0,521100,573998,14.15,14.2,0,0,0,0,0,0,0.907842884469981
2018-06-20 09:21:27,<NIL>,SH600637,东方明珠,43271.3898958333,0,0,0,0,0,0,0,0,0,0,0,14.17,0,0,0,0,14.17,0,0,0,0,14000,0,0,0,0,14000,22689,0,0,0,0.381585761399875,0,0,0,0,0,0,14000,36689,0,0,0,0,535100,610687,14.15,14.2,0,0,0,0,0,0,0.876226282858486
2018-06-20 09:21:33,<NIL>,SH600637,东方明珠,43271.3899652778,0,0,0,0,0,0,0,0,0,0,0,14.17,0,0,0,0,14.17,0,0,0,0,14500,0,0,0,0,14500,22189,0,0,0,0.395213824307013,0,0,0,0,0,0,14500,36689,0,0,0,0,549600,647376,14.15,14.2,0,0,0,0,0,0,0.848965670645807
2018-06-20 09:21:39,<NIL>,SH600637,东方明珠,43271.3900347222,0,0,0,0,0,0,0,0,0,0,0,14.17,0,0,0,0,14.17,0,0,0,0,14800,0,0,0,0,14800,21889,0,0,0,0.403390662051296,0,0,0,0,0,0,14800,36689,0,0,0,0,564400,684065,14.15,14.2,0,0,0,0,0,0,0.82506779326526
2018-06-20 09:21:48,<NIL>,SH600637,东方明珠,43271.3901388889,0,0,0,0,0,0,0,0,0,0,0,14.17,0,0,0,0,14.17,0,0,0,0,14800,0,0,0,0,14800,21989,0,0,0,0.402294164016418,0,0,0,0,0,0,14800,36789,0,0,0,0,579200,720854,14.15,14.2,0,0,0,0,0,0,0.803491414350201
2018-06-20 09:22:03,<NIL>,SH600637,东方明珠,43271.3903125,0,0,0,0,0,0,0,0,0,0,0,14.17,0,0,0,0,14.17,0,0,0,0,15100,0,0,0,0,15100,21689,0,0,0,0.410448775449183,0,0,0,0,0,0,15100,36789,0,0,0,0,594300,757643,14.15,14.2,0,0,0,0,0,0,0.784406376090058
2018-06-20 09:22:15,<NIL>,SH600637,东方明珠,43271.3904513889,0,0,0,0,0,0,0,0,0,0,0,14.17,0,0,0,0,14.17,0,0,0,0,15800,0,0,0,0,15800,20989,0,0,0,0.429476202125635,0,0,0,0,0,0,15800,36789,0,0,0,0,610100,794432,14.15,14.2,0,0,0,0,0,0,0.767970071699025
2018-06-20 09:22:21,<NIL>,SH600637,东方明珠,43271.3905208333,0,0,0,0,0,0,0,0,0,0,0,14.17,0,0,0,0,14.17,0,0,0,0,16800,0,0,0,0,16800,19989,0,0,0,0.456658240234853,0,0,0,0,0,0,16800,36789,0,0,0,0,626900,831221,14.15,14.2,0,0,0,0,0,0,0.754191725184999
2018-06-20 09:22:24,<NIL>,SH600637,东方明珠,43271.3905555556,0,0,0,0,0,0,0,0,0,0,0,14.17,0,0,0,0,14.17,0,0,0,0,17000,0,0,0,0,17000,19789,0,0,0,0.462094647856696,0,0,0,0,0,0,17000,36789,0,0,0,0,643900,868010,14.15,14.2,0,0,0,0,0,0,0.741811730279605
2018-06-20 09:22:27,<NIL>,SH600637,东方明珠,43271.3905902778,0,0,0,0,0,0,0,0,0,0,0,14.17,0,0,0,0,14.17,0,0,0,0,25000,0,0,0,0,25000,11789,0,0,0,0.679550952730436,0,0,0,0,0,0,25000,36789,0,0,0,0,668900,904799,14.15,14.2,0,0,0,0,0,0,0.739280215826941
2018-06-20 09:22:45,<NIL>,SH600637,东方明珠,43271.3907986111,0,0,0,0,0,0,0,0,0,0,0,14.17,0,0,0,0,14.17,0,0,0,0,31900,0,0,0,0,31900,4889,0,0,0,0.867107015684036,0,0,0,0,0,0,31900,36789,0,0,0,0,700800,941588,14.15,14.2,0,0,0,0,0,0,0.74427456594604
2018-06-20 09:22:54,<NIL>,SH600637,东方明珠,43271.3909027778,0,0,0,0,0,0,0,0,0,0,0,14.17,0,0,0,0,14.17,0,0,0,0,36789,5311,0,0,0,36789,0,0,0,0,1.14436380439805,0,0,0,0,0,0,42100,36789,0,0,0,0,742900,978377,14.15,14.2,0,0,0,0,0,0,0.75931874931647
2018-06-20 09:23:03,<NIL>,SH600637,东方明珠,43271.3910069444,0,0,0,0,0,0,0,0,0,0,0,14.17,0,0,0,0,14.17,0,0,0,0,36789,7311,0,0,0,36789,0,0,0,0,1.19872788061649,0,0,0,0,0,0,44100,36789,0,0,0,0,787000,1015166,14.15,14.2,0,0,0,0,0,0,0.775242669671758
2018-06-20 09:23:09,<NIL>,SH600637,东方明珠,43271.3910763889,0,0,0,0,0,0,0,0,0,0,0,14.17,0,0,0,0,14.17,0,0,0,0,39033,5567,0,0,0,39033,0,0,0,0,1.14262290882074,0,0,0,0,0,0,44600,39033,0,0,0,0,831600,1054199,14.15,14.2,0,0,0,0,0,0,0.788845369802096
2018-06-20 09:23:15,<NIL>,SH600637,东方明珠,43271.3911458333,0,0,0,0,0,0,0,0,0,0,0,14.17,0,0,0,0,14.17,0,0,0,0,46333,367,0,0,0,46333,0,0,0,0,1.00792092029439,0,0,0,0,0,0,46700,46333,0,0,0,0,878300,1100532,14.15,14.2,0,0,0,0,0,0,0.798068570473189
2018-06-20 09:23:33,<NIL>,SH600637,东方明珠,43271.3913541667,0,0,0,0,0,0,0,0,0,0,0,14.17,0,0,0,0,14.17,0,0,0,0,46333,2667,0,0,0,46333,0,0,0,0,1.05756156519112,0,0,0,0,0,0,49000,46333,0,0,0,0,927300,1146865,14.15,14.2,0,0,0,0,0,0,0.808552009172832
2018-06-20 09:23:42,<NIL>,SH600637,东方明珠,43271.3914583333,0,0,0,0,0,0,0,0,0,0,0,14.17,0,0,0,0,14.17,0,0,0,0,46333,17767,0,0,0,46333,0,0,0,0,1.38346319038266,0,0,0,0,0,0,64100,46333,0,0,0,0,991400,1193198,14.15,14.2,0,0,0,0,0,0,0.830876350781681
